4,8,1318,0.0
6,64,3483,0.0
8,216,9811,0.0
10,512,22126,0.0
4,0,1425,0.0
6,0,4391,0.0
8,0,12189,0.0
10,0,30497,0.0

10,512,22204,0.0
12,0,61417,0.0
14,0,96227,0.0
16,0,239398,0.0

16,0,239398,0.0
24,0,685693,0.0
16,0,239398,0.0
20,0,368819,0.0
24,10648,-768536,-0.0
32,27000,-4694655,-0.0
16,0,239398,0.0
20,0,368819,0.0
8,0,12595,0.0
12,0,61417,0.0
16,0,239398,0.0
20,0,368819,0.0
8,0,12595,0.0
12,0,61417,0.0
16,0,239398,0.0
20,5832,-422350,-0.0
8,0,15797,0.0
8,0,15797,0.0
12,0,66908,0.0
16,588,231889,0.0
20,1620,275111,0.0
24,0,1514294,0.0
28,0,1082599,0.0
32,6300,2527584,0.0
36,0,2706931,0.0
1,0,250097,0.0
12,0,75399,0.0
13,0,98236,0.0
22,0,878081,0.0
8,0,16805,0.0
10,0,52758,0.0
